time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1995-01-01 00:00:00,11.3021,11.3021,0,0,0,0,0,0
1995-01-01 01:00:00,9.7614,9.7614,0,0,0,0,0,0
1995-01-01 02:00:00,8.7918,8.7918,0,0,0,0,0,0
1995-01-01 03:00:00,8.5103,8.5103,0,0,0,0,0,0
1995-01-01 04:00:00,8.1259,8.1259,0,0,0,0,0,0
1995-01-01 05:00:00,8.7414,8.7414,0,0,0,0,0,0
1995-01-01 06:00:00,9.2176,9.2176,0,0,0,0,0,0
1995-01-01 07:00:00,9.908,9.908,0,0,0,0,0,0
1995-01-01 08:00:00,9.9387,9.9387,0,0,0,0,0,0
1995-01-01 09:00:00,10.9697,10.9697,0,0,0,0,0,0
1995-01-01 10:00:00,11.8595,11.8595,0,0,0,0,0,0
1995-01-01 11:00:00,12.2701,12.2701,0,0,0,0,0,0
1995-01-01 12:00:00,9.7809,9.7809,0,0,0,0,0,0
1995-01-01 13:00:00,8.913,8.913,0,0,0,0,0,0
1995-01-01 14:00:00,10.0089,10.0089,0,0,0,0,0,0
1995-01-01 15:00:00,11.9229,11.9229,0,0,0,0,0,0
1995-01-01 16:00:00,11.287,11.287,0,0,0,0,0,0
1995-01-01 17:00:00,9.0857,9.0857,0,0,0,0,0,0
1995-01-01 18:00:00,8.8448,8.8448,0,0,0,0,0,0
1995-01-01 19:00:00,8.9478,8.9478,0,0,0,0,0,0
1995-01-01 20:00:00,9.3734,9.3734,0,0,0,0,0,0
1995-01-01 21:00:00,10.1877,10.1877,0,0,0,0,0,0
1995-01-01 22:00:00,11.2969,11.2969,0,0,0,0,0,0
1995-01-01 23:00:00,10.7103,10.7103,0,0,0,0,0,0
1995-01-02 00:00:00,11.2896,11.2896,0,0,0,0,0,0
1995-01-02 01:00:00,11.2965,11.2965,0,0,0,0,0,0
1995-01-02 02:00:00,11.7672,11.7672,0,0,0,0,0,0
1995-01-02 03:00:00,11.8596,11.8596,0,0,0,0,0,0
1995-01-02 04:00:00,10.9429,10.9429,0,0,0,0,0,0
1995-01-02 05:00:00,11.9143,11.9143,0,0,0,0,0,0
1995-01-02 06:00:00,11.6048,11.6048,0,0,0,0,0,0
1995-01-02 07:00:00,11.5373,11.5373,0,0,0,0,0,0
1995-01-02 08:00:00,11.286,11.286,0,0,0,0,0,0
1995-01-02 09:00:00,10.9899,10.9899,0,0,0,0,0,0
1995-01-02 10:00:00,10.1204,10.1204,0,0,0,0,0,0
1995-01-02 11:00:00,10.1995,10.1995,0,0,0,0,0,0
1995-01-02 12:00:00,9.8898,9.8898,0,0,0,0,0,0
1995-01-02 13:00:00,9.6791,9.6791,0,0,0,0,0,0
1995-01-02 14:00:00,9.4786,9.4786,0,0,0,0,0,0
1995-01-02 15:00:00,8.9469,8.9469,0,0,0,0,0,0
1995-01-02 16:00:00,8.1116,8.1116,0,0,0,0,0,0
1995-01-02 17:00:00,7.6683,7.6683,0,0,0,0,0,0
1995-01-02 18:00:00,7.6111,7.6111,0,0,0,0,0,0
1995-01-02 19:00:00,7.1748,7.1748,0,0,0,0,0,0
1995-01-02 20:00:00,6.8804,6.8804,0,0,0,0,0,0
1995-01-02 21:00:00,6.4452,6.4452,0,0,0,0,0,0
1995-01-02 22:00:00,6.2834,6.2834,0,0,0,0,0,0
1995-01-02 23:00:00,6.0881,6.0881,0,0,0,0,0,0
1995-01-03 00:00:00,6.4217,6.4217,0,0,0,0,0,0
1995-01-03 01:00:00,6.725,6.725,0,0,0,0,0,0
1995-01-03 02:00:00,6.0058,6.0058,0,0,0,0,0,0
1995-01-03 03:00:00,5.9218,5.9218,0,0,0,0,0,0
1995-01-03 04:00:00,5.8869,5.8869,0,0,0,0,0,0
1995-01-03 05:00:00,6.2385,6.2385,0,0,0,0,0,0
1995-01-03 06:00:00,6.6454,6.6454,0,0,0,0,0,0
1995-01-03 07:00:00,6.57,6.57,0,0,0,0,0,0
1995-01-03 08:00:00,6.3819,6.3819,0,0,0,0,0,0
1995-01-03 09:00:00,5.2265,5.2265,0,0,0,0,0,0
1995-01-03 10:00:00,4.353,4.353,0,0,0,0,0,0
1995-01-03 11:00:00,3.9077,3.9077,0,0,0,0,0,0
1995-01-03 12:00:00,4.2873,4.2873,0,0,0,0,0,0
1995-01-03 13:00:00,5.1438,5.1438,0,0,0,0,0,0
1995-01-03 14:00:00,5.5885,5.5885,0,0,0,0,0,0
1995-01-03 15:00:00,5.8317,5.8317,0,0,0,0,0,0
1995-01-03 16:00:00,6.2502,6.2502,0,0,0,0,0,0
1995-01-03 17:00:00,6.6552,6.6552,0,0,0,0,0,0
1995-01-03 18:00:00,6.931,6.931,0,0,0,0,0,0
1995-01-03 19:00:00,7.1024,7.1024,0,0,0,0,0,0
1995-01-03 20:00:00,7.2685,7.2685,0,0,0,0,0,0
1995-01-03 21:00:00,7.3261,7.3261,0,0,0,0,0,0
1995-01-03 22:00:00,7.2429,7.2429,0,0,0,0,0,0
1995-01-03 23:00:00,7.1962,7.1962,0,0,0,0,0,0
1995-01-04 00:00:00,7.3641,7.3641,0,0,0,0,0,0
1995-01-04 01:00:00,6.8515,6.8515,0,0,0,0,0,0
1995-01-04 02:00:00,6.916,6.916,0,0,0,0,0,0
1995-01-04 03:00:00,6.7108,6.7108,0,0,0,0,0,0
1995-01-04 04:00:00,6.9118,6.9118,0,0,0,0,0,0
1995-01-04 05:00:00,7.2026,7.2026,0,0,0,0,0,0
1995-01-04 06:00:00,7.0424,7.0424,0,0,0,0,0,0
1995-01-04 07:00:00,7.2254,7.2254,0,0,0,0,0,0
1995-01-04 08:00:00,7.3278,7.3278,0,0,0,0,0,0
1995-01-04 09:00:00,6.9389,6.9389,0,0,0,0,0,0
1995-01-04 10:00:00,7.0419,7.0419,0,0,0,0,0,0
1995-01-04 11:00:00,7.0914,7.0914,0,0,0,0,0,0
1995-01-04 12:00:00,6.7882,6.7882,0,0,0,0,0,0
1995-01-04 13:00:00,6.2241,6.2241,0,0,0,0,0,0
1995-01-04 14:00:00,5.8572,5.8572,0,0,0,0,0,0
1995-01-04 15:00:00,5.9097,5.9097,0,0,0,0,0,0
1995-01-04 16:00:00,7.1082,7.1082,0,0,0,0,0,0
1995-01-04 17:00:00,8.3587,8.3587,0,0,0,0,0,0
1995-01-04 18:00:00,8.626,8.626,0,0,0,0,0,0
1995-01-04 19:00:00,8.7785,8.7785,0,0,0,0,0,0
1995-01-04 20:00:00,8.6931,8.6931,0,0,0,0,0,0
1995-01-04 21:00:00,8.2889,8.2889,0,0,0,0,0,0
1995-01-04 22:00:00,7.0193,7.0193,0,0,0,0,0,0
1995-01-04 23:00:00,6.4885,6.4885,0,0,0,0,0,0
1995-01-05 00:00:00,6.1759,6.1759,0,0,0,0,0,0
1995-01-05 01:00:00,6.6144,6.6144,0,0,0,0,0,0
1995-01-05 02:00:00,7.8549,7.8549,0,0,0,0,0,0
1995-01-05 03:00:00,5.9014,5.9014,0,0,0,0,0,0
1995-01-05 04:00:00,6.7285,6.7285,0,0,0,0,0,0
1995-01-05 05:00:00,8.4969,8.4969,0,0,0,0,0,0
1995-01-05 06:00:00,8.0642,8.0642,0,0,0,0,0,0
1995-01-05 07:00:00,7.0197,7.0197,0,0,0,0,0,0
1995-01-05 08:00:00,6.3796,6.3796,0,0,0,0,0,0
1995-01-05 09:00:00,5.3772,5.3772,0,0,0,0,0,0
1995-01-05 10:00:00,3.9529,3.9529,0,0,0,0,0,0
1995-01-05 11:00:00,1.9178,1.9178,0,0,0,0,0,0
1995-01-05 12:00:00,1.151,1.151,0,0,0,0,0,0
1995-01-05 13:00:00,1.1629,1.1629,0,0,0,0,0,0
1995-01-05 14:00:00,1.6377,1.6377,0,0,0,0,0,0
1995-01-05 15:00:00,2.4342,2.4342,0,0,0,0,0,0
1995-01-05 16:00:00,3.0927,3.0927,0,0,0,0,0,0
1995-01-05 17:00:00,4.3052,4.3052,0,0,0,0,0,0
1995-01-05 18:00:00,5.3047,5.3047,0,0,0,0,0,0
1995-01-05 19:00:00,6.6294,6.6294,0,0,0,0,0,0
1995-01-05 20:00:00,7.9412,7.9412,0,0,0,0,0,0
1995-01-05 21:00:00,8.9118,8.9118,0,0,0,0,0,0
1995-01-05 22:00:00,10.3158,10.3158,0,0,0,0,0,0
1995-01-05 23:00:00,11.3059,11.3059,0,0,0,0,0,0
1995-01-06 00:00:00,12.0078,12.0078,0,0,0,0,0,0
1995-01-06 01:00:00,12.3447,12.3447,0,0,0,0,0,0
1995-01-06 02:00:00,12.1815,12.1815,0,0,0,0,0,0
1995-01-06 03:00:00,10.8663,10.8663,0,0,0,0,0,0
1995-01-06 04:00:00,10.3393,10.3393,0,0,0,0,0,0
1995-01-06 05:00:00,9.3377,9.3377,0,0,0,0,0,0
1995-01-06 06:00:00,8.2547,8.2547,0,0,0,0,0,0
1995-01-06 07:00:00,7.8169,7.8169,0,0,0,0,0,0
1995-01-06 08:00:00,8.2538,8.2538,0,0,0,0,0,0
1995-01-06 09:00:00,8.7448,8.7448,0,0,0,0,0,0
1995-01-06 10:00:00,9.4287,9.4287,0,0,0,0,0,0
1995-01-06 11:00:00,9.364,9.364,0,0,0,0,0,0
1995-01-06 12:00:00,10.1562,10.1562,0,0,0,0,0,0
1995-01-06 13:00:00,9.8847,9.8847,0,0,0,0,0,0
1995-01-06 14:00:00,9.9173,9.9173,0,0,0,0,0,0
1995-01-06 15:00:00,10.2671,10.2671,0,0,0,0,0,0
1995-01-06 16:00:00,9.507,9.507,0,0,0,0,0,0
1995-01-06 17:00:00,9.4863,9.4863,0,0,0,0,0,0
1995-01-06 18:00:00,9.8581,9.8581,0,0,0,0,0,0
1995-01-06 19:00:00,10.2656,10.2656,0,0,0,0,0,0
1995-01-06 20:00:00,10.3201,10.3201,0,0,0,0,0,0
1995-01-06 21:00:00,10.2872,10.2872,0,0,0,0,0,0
1995-01-06 22:00:00,9.6127,9.6127,0,0,0,0,0,0
1995-01-06 23:00:00,9.4518,9.4518,0,0,0,0,0,0
1995-01-07 00:00:00,9.0684,9.0684,0,0,0,0,0,0
1995-01-07 01:00:00,8.5491,8.5491,0,0,0,0,0,0
1995-01-07 02:00:00,8.4381,8.4381,0,0,0,0,0,0
1995-01-07 03:00:00,8.6663,8.6663,0,0,0,0,0,0
1995-01-07 04:00:00,8.9252,8.9252,0,0,0,0,0,0
1995-01-07 05:00:00,8.4219,8.4219,0,0,0,0,0,0
1995-01-07 06:00:00,7.9464,7.9464,0,0,0,0,0,0
1995-01-07 07:00:00,7.5023,7.5023,0,0,0,0,0,0
1995-01-07 08:00:00,7.7072,7.7072,0,0,0,0,0,0
1995-01-07 09:00:00,8.6433,8.6433,0,0,0,0,0,0
1995-01-07 10:00:00,8.7188,8.7188,0,0,0,0,0,0
1995-01-07 11:00:00,9.3143,9.3143,0,0,0,0,0,0
1995-01-07 12:00:00,9.4399,9.4399,0,0,0,0,0,0
1995-01-07 13:00:00,9.0445,9.0445,0,0,0,0,0,0
1995-01-07 14:00:00,8.9285,8.9285,0,0,0,0,0,0
1995-01-07 15:00:00,8.8115,8.8115,0,0,0,0,0,0
1995-01-07 16:00:00,7.3902,7.3902,0,0,0,0,0,0
1995-01-07 17:00:00,7.4968,7.4968,0,0,0,0,0,0
1995-01-07 18:00:00,7.9519,7.9519,0,0,0,0,0,0
1995-01-07 19:00:00,8.1277,8.1277,0,0,0,0,0,0
1995-01-07 20:00:00,8.4385,8.4385,0,0,0,0,0,0
1995-01-07 21:00:00,8.525,8.525,0,0,0,0,0,0
1995-01-07 22:00:00,7.9379,7.9379,0,0,0,0,0,0
1995-01-07 23:00:00,7.7885,7.7885,0,0,0,0,0,0
1995-01-08 00:00:00,7.4539,7.4539,0,0,0,0,0,0
1995-01-08 01:00:00,7.4917,7.4917,0,0,0,0,0,0
1995-01-08 02:00:00,7.4498,7.4498,0,0,0,0,0,0
1995-01-08 03:00:00,7.5994,7.5994,0,0,0,0,0,0
1995-01-08 04:00:00,7.3402,7.3402,0,0,0,0,0,0
1995-01-08 05:00:00,6.7147,6.7147,0,0,0,0,0,0
1995-01-08 06:00:00,6.311,6.311,0,0,0,0,0,0
1995-01-08 07:00:00,5.5086,5.5086,0,0,0,0,0,0
1995-01-08 08:00:00,4.1226,4.1226,0,0,0,0,0,0
1995-01-08 09:00:00,2.4749,2.4749,0,0,0,0,0,0
1995-01-08 10:00:00,2.1867,2.1867,0,0,0,0,0,0
1995-01-08 11:00:00,2.7477,2.7477,0,0,0,0,0,0
1995-01-08 12:00:00,3.4975,3.4975,0,0,0,0,0,0
1995-01-08 13:00:00,3.4876,3.4876,0,0,0,0,0,0
1995-01-08 14:00:00,3.5479,3.5479,0,0,0,0,0,0
1995-01-08 15:00:00,4.8482,4.8482,0,0,0,0,0,0
1995-01-08 16:00:00,6.6796,6.6796,0,0,0,0,0,0
1995-01-08 17:00:00,7.9872,7.9872,0,0,0,0,0,0
1995-01-08 18:00:00,8.6465,8.6465,0,0,0,0,0,0
1995-01-08 19:00:00,8.7275,8.7275,0,0,0,0,0,0
1995-01-08 20:00:00,8.4381,8.4381,0,0,0,0,0,0
1995-01-08 21:00:00,7.8688,7.8688,0,0,0,0,0,0
1995-01-08 22:00:00,7.5958,7.5958,0,0,0,0,0,0
1995-01-08 23:00:00,6.5945,6.5945,0,0,0,0,0,0
1995-01-09 00:00:00,5.5805,5.5805,0,0,0,0,0,0
1995-01-09 01:00:00,4.8188,4.8188,0,0,0,0,0,0
1995-01-09 02:00:00,4.3889,4.3889,0,0,0,0,0,0
1995-01-09 03:00:00,4.1694,4.1694,0,0,0,0,0,0
1995-01-09 04:00:00,5.8075,5.8075,0,0,0,0,0,0
1995-01-09 05:00:00,7.2757,7.2757,0,0,0,0,0,0
1995-01-09 06:00:00,10.6036,10.6036,0,0,0,0,0,0
1995-01-09 07:00:00,11.1854,11.1854,0,0,0,0,0,0
1995-01-09 08:00:00,10.4812,10.4812,0,0,0,0,0,0
1995-01-09 09:00:00,8.7939,8.7939,0,0,0,0,0,0
1995-01-09 10:00:00,8.2571,8.2571,0,0,0,0,0,0
1995-01-09 11:00:00,8.2271,8.2271,0,0,0,0,0,0
1995-01-09 12:00:00,7.7204,7.7204,0,0,0,0,0,0
1995-01-09 13:00:00,7.3727,7.3727,0,0,0,0,0,0
1995-01-09 14:00:00,7.2498,7.2498,0,0,0,0,0,0
1995-01-09 15:00:00,6.6124,6.6124,0,0,0,0,0,0
1995-01-09 16:00:00,5.7468,5.7468,0,0,0,0,0,0
1995-01-09 17:00:00,6.104,6.104,0,0,0,0,0,0
1995-01-09 18:00:00,6.067,6.067,0,0,0,0,0,0
1995-01-09 19:00:00,7.1472,7.1472,0,0,0,0,0,0
1995-01-09 20:00:00,7.4485,7.4485,0,0,0,0,0,0
1995-01-09 21:00:00,8.1557,8.1557,0,0,0,0,0,0
1995-01-09 22:00:00,9.5784,9.5784,0,0,0,0,0,0
1995-01-09 23:00:00,10.5196,10.5196,0,0,0,0,0,0
1995-01-10 00:00:00,11.2295,11.2295,0,0,0,0,0,0
1995-01-10 01:00:00,11.7153,11.7153,0,0,0,0,0,0
1995-01-10 02:00:00,11.6236,11.6236,0,0,0,0,0,0
1995-01-10 03:00:00,11.7051,11.7051,0,0,0,0,0,0
1995-01-10 04:00:00,11.6221,11.6221,0,0,0,0,0,0
1995-01-10 05:00:00,11.6282,11.6282,0,0,0,0,0,0
1995-01-10 06:00:00,11.7154,11.7154,0,0,0,0,0,0
1995-01-10 07:00:00,11.8098,11.8098,0,0,0,0,0,0
1995-01-10 08:00:00,11.573,11.573,0,0,0,0,0,0
1995-01-10 09:00:00,11.2997,11.2997,0,0,0,0,0,0
1995-01-10 10:00:00,11.7711,11.7711,0,0,0,0,0,0
1995-01-10 11:00:00,11.8012,11.8012,0,0,0,0,0,0
1995-01-10 12:00:00,11.7772,11.7772,0,0,0,0,0,0
1995-01-10 13:00:00,11.6346,11.6346,0,0,0,0,0,0
1995-01-10 14:00:00,11.3027,11.3027,0,0,0,0,0,0
1995-01-10 15:00:00,11.3933,11.3933,0,0,0,0,0,0
1995-01-10 16:00:00,11.2357,11.2357,0,0,0,0,0,0
1995-01-10 17:00:00,11.4082,11.4082,0,0,0,0,0,0
1995-01-10 18:00:00,12.0992,12.0992,0,0,0,0,0,0
1995-01-10 19:00:00,12.7197,12.7197,0,0,0,0,0,0
1995-01-10 20:00:00,13.2157,13.2157,0,0,0,0,0,0
1995-01-10 21:00:00,13.9179,13.9179,0,0,0,0,0,0
1995-01-10 22:00:00,14.3963,14.3963,0,0,0,0,0,0
1995-01-10 23:00:00,14.9636,14.9636,0,0,0,0,0,0
1995-01-11 00:00:00,15.7766,15.7766,0,0,0,0,0,0
1995-01-11 01:00:00,16.4163,16.4163,0,0,0,0,0,0
1995-01-11 02:00:00,16.4378,16.4378,0,0,0,0,0,0
1995-01-11 03:00:00,16.2443,16.2443,0,0,0,0,0,0
1995-01-11 04:00:00,16.004,16.004,0,0,0,0,0,0
1995-01-11 05:00:00,15.5379,15.5379,0,0,0,0,0,0
1995-01-11 06:00:00,14.8084,14.8084,0,0,0,0,0,0
1995-01-11 07:00:00,14.3234,14.3234,0,0,0,0,0,0
1995-01-11 08:00:00,14.2454,14.2454,0,0,0,0,0,0
1995-01-11 09:00:00,13.9625,13.9625,0,0,0,0,0,0
1995-01-11 10:00:00,13.5723,13.5723,0,0,0,0,0,0
1995-01-11 11:00:00,13.8722,13.8722,0,0,0,0,0,0
1995-01-11 12:00:00,14.3679,14.3679,0,0,0,0,0,0
1995-01-11 13:00:00,13.8845,13.8845,0,0,0,0,0,0
1995-01-11 14:00:00,13.2523,13.2523,0,0,0,0,0,0
1995-01-11 15:00:00,10.1847,10.1847,0,0,0,0,0,0
1995-01-11 16:00:00,8.6384,8.6384,0,0,0,0,0,0
1995-01-11 17:00:00,8.3771,8.3771,0,0,0,0,0,0
1995-01-11 18:00:00,8.5841,8.5841,0,0,0,0,0,0
1995-01-11 19:00:00,9.0427,9.0427,0,0,0,0,0,0
1995-01-11 20:00:00,9.1461,9.1461,0,0,0,0,0,0
1995-01-11 21:00:00,9.2645,9.2645,0,0,0,0,0,0
1995-01-11 22:00:00,9.0352,9.0352,0,0,0,0,0,0
1995-01-11 23:00:00,9.3059,9.3059,0,0,0,0,0,0
1995-01-12 00:00:00,9.5718,9.5718,0,0,0,0,0,0
1995-01-12 01:00:00,9.5632,9.5632,0,0,0,0,0,0
1995-01-12 02:00:00,9.519,9.519,0,0,0,0,0,0
1995-01-12 03:00:00,9.8548,9.8548,0,0,0,0,0,0
1995-01-12 04:00:00,10.0985,10.0985,0,0,0,0,0,0
1995-01-12 05:00:00,10.7849,10.7849,0,0,0,0,0,0
1995-01-12 06:00:00,10.7775,10.7775,0,0,0,0,0,0
1995-01-12 07:00:00,11.0403,11.0403,0,0,0,0,0,0
1995-01-12 08:00:00,10.8126,10.8126,0,0,0,0,0,0
1995-01-12 09:00:00,11.7333,11.7333,0,0,0,0,0,0
1995-01-12 10:00:00,13.4588,13.4588,0,0,0,0,0,0
1995-01-12 11:00:00,12.8596,12.8596,0,0,0,0,0,0
1995-01-12 12:00:00,12.858,12.858,0,0,0,0,0,0
1995-01-12 13:00:00,13.0915,13.0915,0,0,0,0,0,0
1995-01-12 14:00:00,13.858,13.858,0,0,0,0,0,0
1995-01-12 15:00:00,13.514,13.514,0,0,0,0,0,0
1995-01-12 16:00:00,13.618,13.618,0,0,0,0,0,0
1995-01-12 17:00:00,13.5036,13.5036,0,0,0,0,0,0
1995-01-12 18:00:00,14.2268,14.2268,0,0,0,0,0,0
1995-01-12 19:00:00,14.1171,14.1171,0,0,0,0,0,0
1995-01-12 20:00:00,13.9781,13.9781,0,0,0,0,0,0
1995-01-12 21:00:00,12.8776,12.8776,0,0,0,0,0,0
1995-01-12 22:00:00,12.5784,12.5784,0,0,0,0,0,0
1995-01-12 23:00:00,12.9492,12.9492,0,0,0,0,0,0
1995-01-13 00:00:00,11.6663,11.6663,0,0,0,0,0,0
1995-01-13 01:00:00,10.9323,10.9323,0,0,0,0,0,0
1995-01-13 02:00:00,10.891,10.891,0,0,0,0,0,0
1995-01-13 03:00:00,10.8205,10.8205,0,0,0,0,0,0
1995-01-13 04:00:00,10.8057,10.8057,0,0,0,0,0,0
1995-01-13 05:00:00,11.089,11.089,0,0,0,0,0,0
1995-01-13 06:00:00,10.6383,10.6383,0,0,0,0,0,0
1995-01-13 07:00:00,10.8677,10.8677,0,0,0,0,0,0
1995-01-13 08:00:00,10.3032,10.3032,0,0,0,0,0,0
1995-01-13 09:00:00,9.1808,9.1808,0,0,0,0,0,0
1995-01-13 10:00:00,8.2473,8.2473,0,0,0,0,0,0
1995-01-13 11:00:00,7.7903,7.7903,0,0,0,0,0,0
1995-01-13 12:00:00,7.3928,7.3928,0,0,0,0,0,0
1995-01-13 13:00:00,6.6902,6.6902,0,0,0,0,0,0
1995-01-13 14:00:00,6.1918,6.1918,0,0,0,0,0,0
1995-01-13 15:00:00,6.4662,6.4662,0,0,0,0,0,0
1995-01-13 16:00:00,6.4023,6.4023,0,0,0,0,0,0
1995-01-13 17:00:00,6.3586,6.3586,0,0,0,0,0,0
1995-01-13 18:00:00,6.4526,6.4526,0,0,0,0,0,0
1995-01-13 19:00:00,6.5893,6.5893,0,0,0,0,0,0
1995-01-13 20:00:00,6.4223,6.4223,0,0,0,0,0,0
1995-01-13 21:00:00,6.1742,6.1742,0,0,0,0,0,0
1995-01-13 22:00:00,5.0101,5.0101,0,0,0,0,0,0
1995-01-13 23:00:00,4.6077,4.6077,0,0,0,0,0,0
1995-01-14 00:00:00,4.3717,4.3717,0,0,0,0,0,0
1995-01-14 01:00:00,4.6183,4.6183,0,0,0,0,0,0
1995-01-14 02:00:00,4.5803,4.5803,0,0,0,0,0,0
1995-01-14 03:00:00,4.2126,4.2126,0,0,0,0,0,0
1995-01-14 04:00:00,4.4845,4.4845,0,0,0,0,0,0
1995-01-14 05:00:00,4.6047,4.6047,0,0,0,0,0,0
1995-01-14 06:00:00,4.7538,4.7538,0,0,0,0,0,0
1995-01-14 07:00:00,4.9827,4.9827,0,0,0,0,0,0
1995-01-14 08:00:00,5.1818,5.1818,0,0,0,0,0,0
1995-01-14 09:00:00,4.6286,4.6286,0,0,0,0,0,0
1995-01-14 10:00:00,4.2873,4.2873,0,0,0,0,0,0
1995-01-14 11:00:00,4.0938,4.0938,0,0,0,0,0,0
1995-01-14 12:00:00,4.1229,4.1229,0,0,0,0,0,0
1995-01-14 13:00:00,4.5341,4.5341,0,0,0,0,0,0
1995-01-14 14:00:00,4.7353,4.7353,0,0,0,0,0,0
1995-01-14 15:00:00,4.7701,4.7701,0,0,0,0,0,0
1995-01-14 16:00:00,5.4264,5.4264,0,0,0,0,0,0
1995-01-14 17:00:00,6.1869,6.1869,0,0,0,0,0,0
1995-01-14 18:00:00,6.5396,6.5396,0,0,0,0,0,0
1995-01-14 19:00:00,6.7666,6.7666,0,0,0,0,0,0
1995-01-14 20:00:00,6.655,6.655,0,0,0,0,0,0
1995-01-14 21:00:00,6.5442,6.5442,0,0,0,0,0,0
1995-01-14 22:00:00,6.2327,6.2327,0,0,0,0,0,0
1995-01-14 23:00:00,6.4786,6.4786,0,0,0,0,0,0
1995-01-15 00:00:00,6.4987,6.4987,0,0,0,0,0,0
1995-01-15 01:00:00,6.5845,6.5845,0,0,0,0,0,0
1995-01-15 02:00:00,6.5885,6.5885,0,0,0,0,0,0
1995-01-15 03:00:00,6.6633,6.6633,0,0,0,0,0,0
1995-01-15 04:00:00,6.7466,6.7466,0,0,0,0,0,0
1995-01-15 05:00:00,6.8472,6.8472,0,0,0,0,0,0
1995-01-15 06:00:00,7.0986,7.0986,0,0,0,0,0,0
1995-01-15 07:00:00,7.5414,7.5414,0,0,0,0,0,0
1995-01-15 08:00:00,8.0086,8.0086,0,0,0,0,0,0
1995-01-15 09:00:00,7.6301,7.6301,0,0,0,0,0,0
1995-01-15 10:00:00,7.0944,7.0944,0,0,0,0,0,0
1995-01-15 11:00:00,7.5022,7.5022,0,0,0,0,0,0
1995-01-15 12:00:00,7.091,7.091,0,0,0,0,0,0
1995-01-15 13:00:00,6.4018,6.4018,0,0,0,0,0,0
1995-01-15 14:00:00,5.8992,5.8992,0,0,0,0,0,0
1995-01-15 15:00:00,5.9845,5.9845,0,0,0,0,0,0
1995-01-15 16:00:00,7.162,7.162,0,0,0,0,0,0
1995-01-15 17:00:00,8.3092,8.3092,0,0,0,0,0,0
1995-01-15 18:00:00,8.6452,8.6452,0,0,0,0,0,0
1995-01-15 19:00:00,8.6815,8.6815,0,0,0,0,0,0
1995-01-15 20:00:00,8.5575,8.5575,0,0,0,0,0,0
1995-01-15 21:00:00,8.2485,8.2485,0,0,0,0,0,0
1995-01-15 22:00:00,7.686,7.686,0,0,0,0,0,0
1995-01-15 23:00:00,7.772,7.772,0,0,0,0,0,0
1995-01-16 00:00:00,8.0266,8.0266,0,0,0,0,0,0
1995-01-16 01:00:00,8.6632,8.6632,0,0,0,0,0,0
1995-01-16 02:00:00,9.2709,9.2709,0,0,0,0,0,0
1995-01-16 03:00:00,10.1446,10.1446,0,0,0,0,0,0
1995-01-16 04:00:00,10.8763,10.8763,0,0,0,0,0,0
1995-01-16 05:00:00,11.4269,11.4269,0,0,0,0,0,0
1995-01-16 06:00:00,11.7676,11.7676,0,0,0,0,0,0
1995-01-16 07:00:00,11.9549,11.9549,0,0,0,0,0,0
1995-01-16 08:00:00,12.3752,12.3752,0,0,0,0,0,0
1995-01-16 09:00:00,12.5221,12.5221,0,0,0,0,0,0
1995-01-16 10:00:00,12.8073,12.8073,0,0,0,0,0,0
1995-01-16 11:00:00,11.6173,11.6173,0,0,0,0,0,0
1995-01-16 12:00:00,10.6154,10.6154,0,0,0,0,0,0
1995-01-16 13:00:00,10.8585,10.8585,0,0,0,0,0,0
1995-01-16 14:00:00,12.5852,12.5852,0,0,0,0,0,0
1995-01-16 15:00:00,13.3598,13.3598,0,0,0,0,0,0
1995-01-16 16:00:00,14.5727,14.5727,0,0,0,0,0,0
1995-01-16 17:00:00,15.6244,15.6244,0,0,0,0,0,0
1995-01-16 18:00:00,16.201,16.201,0,0,0,0,0,0
1995-01-16 19:00:00,16.4629,16.4629,0,0,0,0,0,0
1995-01-16 20:00:00,16.5827,16.5827,0,0,0,0,0,0
1995-01-16 21:00:00,16.7197,16.7197,0,0,0,0,0,0
1995-01-16 22:00:00,16.8018,16.8018,0,0,0,0,0,0
1995-01-16 23:00:00,17.0959,17.0959,0,0,0,0,0,0
1995-01-17 00:00:00,17.1402,17.1402,0,0,0,0,0,0
1995-01-17 01:00:00,17.2203,17.2203,0,0,0,0,0,0
1995-01-17 02:00:00,17.2386,17.2386,0,0,0,0,0,0
1995-01-17 03:00:00,17.3973,17.3973,0,0,0,0,0,0
1995-01-17 04:00:00,17.3776,17.3776,0,0,0,0,0,0
1995-01-17 05:00:00,17.2539,17.2539,0,0,0,0,0,0
1995-01-17 06:00:00,17.071,17.071,0,0,0,0,0,0
1995-01-17 07:00:00,16.9821,16.9821,0,0,0,0,0,0
1995-01-17 08:00:00,17.2038,17.2038,0,0,0,0,0,0
1995-01-17 09:00:00,17.452,17.452,0,0,0,0,0,0
1995-01-17 10:00:00,17.2113,17.2113,0,0,0,0,0,0
1995-01-17 11:00:00,15.661,15.661,0,0,0,0,0,0
1995-01-17 12:00:00,15.7701,15.7701,0,0,0,0,0,0
1995-01-17 13:00:00,16.0913,16.0913,0,0,0,0,0,0
1995-01-17 14:00:00,16.0012,16.0012,0,0,0,0,0,0
1995-01-17 15:00:00,19.2524,19.2524,0,0,0,0,0,0
