time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
2000-01-01 00:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 01:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 02:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 03:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 04:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 05:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 06:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 07:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 08:00:00,25.719,25.719,25.719,25.719,25.719,25.719,25.719,25.719,25.719,25.719,25.719,25.719
2000-01-01 09:00:00,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615
2000-01-01 10:00:00,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615
2000-01-01 11:00:00,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615
2000-01-01 12:00:00,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615,20.615
2000-01-01 13:00:00,23.675,23.675,23.675,23.675,23.675,23.675,23.675,23.675,23.675,23.675,23.675,23.675
2000-01-01 14:00:00,27.685,27.685,27.685,27.685,27.685,27.685,27.685,27.685,27.685,27.685,27.685,27.685
2000-01-01 15:00:00,27.922,27.922,27.922,27.922,27.922,27.922,27.922,27.922,27.922,27.922,27.922,27.922
2000-01-01 16:00:00,34.076,34.076,34.076,34.076,34.076,34.076,34.076,34.076,34.076,34.076,34.076,34.076
2000-01-01 17:00:00,37.435,37.435,37.435,37.435,37.435,37.435,37.435,37.435,37.435,37.435,37.435,37.435
2000-01-01 18:00:00,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763
2000-01-01 19:00:00,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763
2000-01-01 20:00:00,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763,27.763
2000-01-01 21:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 22:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
2000-01-01 23:00:00,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927,26.927
