time,SM_forecast_1,SM_forecast_2,SM_forecast_3,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_1,reg_forecast_2,reg_forecast_3,reg_vol_Up,reg_vol_Down
2011-01-01 00:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 01:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 02:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 03:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 04:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 05:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 06:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 07:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 08:00:00,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86,68.86
2011-01-01 09:00:00,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595
2011-01-01 10:00:00,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595
2011-01-01 11:00:00,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595
2011-01-01 12:00:00,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595
2011-01-01 13:00:00,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595,68.595
2011-01-01 14:00:00,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25,71.25
2011-01-01 15:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 16:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 17:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 18:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 19:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 20:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 21:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 22:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-01 23:00:00,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302,71.302
2011-01-02 00:00:00,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766
2011-01-02 01:00:00,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766
2011-01-02 02:00:00,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766
2011-01-02 03:00:00,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766
2011-01-02 04:00:00,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766
2011-01-02 05:00:00,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766
2011-01-02 06:00:00,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766
2011-01-02 07:00:00,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766,113.766
2011-01-02 08:00:00,103.577,103.577,103.577,103.577,103.577,103.577,103.577,103.577,103.577,103.577,103.577,103.577
2011-01-02 09:00:00,71.284,71.284,71.284,71.284,71.284,71.284,71.284,71.284,71.284,71.284,71.284,71.284
2011-01-02 10:00:00,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734
2011-01-02 11:00:00,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734
2011-01-02 12:00:00,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734,70.734
2011-01-02 13:00:00,70.966,70.966,70.966,70.966,70.966,70.966,70.966,70.966,70.966,70.966,70.966,70.966
2011-01-02 14:00:00,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58
